Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
113980,64BdW5aHuB3C0QP3qjBJVi,I AM THEY,I AM THEY,Amen,41,238146,FALSE,0.516,0.634,7,-4.85,1,0.0339,0.03,1.89E-06,0.0813,0.0921,76.994,4,world-music
113981,1pBc7W7UQacUeQ6kBVlN9f,Planetshakers,Greater (Live),Heaven Is My Home - Live,39,289179,FALSE,0.498,0.957,1,-5.807,0,0.162,0.00527,0,0.477,0.205,128.028,4,world-music
113982,39So2wAM6l3XKWDf5XjiIz,Planetshakers,All For Love,Come Holy Spirit,36,352453,FALSE,0.437,0.638,4,-6.483,0,0.0308,0.211,0.000428,0.138,0.159,148,4,world-music
113983,6X6wIzuxsh7GVNMPz1xTNa,Hillsong Worship,No Other Name,Depths,37,377697,FALSE,0.363,0.462,7,-8.232,1,0.0284,0.00887,8.81E-06,0.706,0.0687,80.003,4,world-music
113984,0PjyOURxQ6wiHaBYXf53G2,Tenth Avenue North,The Light Meets The Dark,Healing Begins,44,237280,FALSE,0.541,0.583,2,-7.047,1,0.0285,0.0142,0,0.102,0.276,96.008,4,world-music
113985,5y8ARSg47Yx52xvQQAlS35,Mosaic MSC,HUMAN (Deluxe) [Live],Fountain (I Am Good) - Live,22,318874,FALSE,0.438,0.577,5,-8.285,1,0.0357,0.0206,1.29E-05,0.253,0.114,139.983,4,world-music
113986,2ZYEpnio0Z6EfJWy2JAf53,Dulces Sueños,#20 Sueños Vividos - Música Intrumental Suave 2018 para Dormir Bien y Relajarse Profundamente,Sueños Vividos,21,335999,FALSE,0.198,0.257,8,-17.361,1,0.0415,0.968,0.949,0.11,0.0381,89.494,4,world-music
113987,4jDhzTYkEG5GloIWwVeVkc,Planetshakers,Revival (Live),All My Life - Live,40,246306,FALSE,0.47,0.938,11,-4.722,0,0.105,0.000529,0,0.251,0.453,128.002,4,world-music
113988,6PM55W7WiUmHVPdUebJP55,Planetshakers,Greater (Live),Stay (You Are Good) - Live,38,462397,FALSE,0.296,0.762,2,-5.696,1,0.0548,0.0724,2.68E-06,0.374,0.146,139.051,4,world-music
113989,0XEgJiDryoDd2gIJhVXghd,Bryan & Katie Torwalt;Brock Human,I've Got Good News (Live) [Deluxe],Hallelujah On My Knees - Live,22,380344,FALSE,0.495,0.281,2,-12.07,1,0.0316,0.392,0,0.662,0.206,127.731,4,world-music
113990,2A4dSiJmbviL56CBupkh6C,Lucas Cervetti,Frecuencias Álmicas en 432hz (Solo Piano),Frecuencia Álmica XI - Solo Piano,22,369049,FALSE,0.579,0.245,4,-16.357,1,0.0384,0.97,0.924,0.101,0.302,112.011,3,world-music
113991,0CE0Y6GM75cbrqao8EOAlW,Chris Tomlin,The Ultimate Playlist,At The Cross (Love Ran Red),32,250629,FALSE,0.387,0.531,8,-4.788,1,0.029,0.00305,0,0.201,0.153,146.003,4,world-music
113992,3FjOBB4EyIXHYUtSgrIdY9,Jesus Culture,Revelation Songs,Your Love Never Fails,38,312566,FALSE,0.475,0.86,10,-4.722,1,0.0421,0.0065,1.72E-06,0.246,0.427,113.949,4,world-music
113993,4OkMK49i3NApR1KsAIsTf6,Chris Tomlin,See The Morning (Special Edition),How Can I Keep From Singing,39,256026,FALSE,0.505,0.687,10,-4.375,1,0.0287,0.0841,0,0.188,0.382,104.083,3,world-music
113994,4WbOUe6T0sozC7z5ZJgiAA,Lucas Cervetti,Frecuencias Álmicas en 432hz,"Frecuencia Álmica, Pt. 4",22,305454,FALSE,0.331,0.171,1,-15.668,1,0.035,0.92,0.0229,0.0679,0.327,132.147,3,world-music
113995,2C3TZjDRiAzdyViavDJ217,Rainy Lullaby,"#mindfulness - Soft Rain for Mindful Meditation, Stress Relief Relaxation Music",Sleep My Little Boy,21,384999,FALSE,0.172,0.235,5,-16.393,1,0.0422,0.64,0.928,0.0863,0.0339,125.995,5,world-music
113996,1hIz5L4IB9hN3WRYPOCGPw,Rainy Lullaby,"#mindfulness - Soft Rain for Mindful Meditation, Stress Relief Relaxation Music",Water Into Light,22,385000,FALSE,0.174,0.117,0,-18.318,0,0.0401,0.994,0.976,0.105,0.035,85.239,4,world-music
113997,6x8ZfSoqDjuNa5SVP5QjvX,Cesária Evora,Best Of,Miss Perfumado,22,271466,FALSE,0.629,0.329,0,-10.895,0,0.042,0.867,0,0.0839,0.743,132.378,4,world-music
113998,2e6sXL2bYv4bSz6VTdnfLs,Michael W. Smith,Change Your World,Friends,41,283893,FALSE,0.587,0.506,7,-10.889,1,0.0297,0.381,0,0.27,0.413,135.96,4,world-music
113999,2hETkH7cOfqmz3LqZDHZf5,Cesária Evora,Miss Perfumado,Barbincor,22,241826,FALSE,0.526,0.487,1,-10.204,0,0.0725,0.681,0,0.0893,0.708,79.198,4,world-music
